^CNXIT,11/22/2024,1
^CNXREALTY,11/22/2024,1
^NSEI,11/22/2024,1
AARON.NS,11/19/2024,1
ACEMEN.BO,11/25/2024,1
ACROW.BO,11/25/2024,1
AJANTSOY.BO,11/22/2024,1
AMBER.NS,11/21/2024,1
APARINDS.NS,11/19/2024,1
APOLLOHOSP.NS,11/22/2024,1
ARIES.NS,11/19/2024,1
ARTEMISMED.NS,11/21/2024,1
ARVSMART.NS,11/19/2024,1
AYMSYNTEX.NS,11/22/2024,1
BALPHARMA.NS,11/19/2024,1
BANCOINDIA.NS,11/19/2024,1
BANCOINDIA.NS,11/22/2024,1
BCCFUBA.BO,11/21/2024,1
BDH.BO,11/22/2024,1
BHARTIARTL.NS,11/22/2024,1
BIL.NS,11/18/2024,1
BKMINDST.NS,11/25/2024,1
BLISSGVS.NS,11/21/2024,1
BOMOXY-B1.BO,11/21/2024,1
CHANDRIMA.BO,11/19/2024,1
CHDCHEM.BO,11/18/2024,1
CIGNITITEC.NS,11/21/2024,1
CIGNITITEC.NS,11/22/2024,1
COMFINTE.BO,11/19/2024,1
CONART.BO,11/19/2024,1
CORDSCABLE.NS,11/19/2024,1
CRISIL.NS,11/21/2024,1
DANLAW.BO,11/19/2024,1
DAULAT.BO,11/21/2024,1
DHANI.NS,11/19/2024,1
DHANI.NS,11/21/2024,1
DOLPHMED.BO,11/25/2024,1
DYNAMATECH.NS,11/19/2024,1
EIDPARRY.NS,11/19/2024,1
EIMCOELECO.NS,11/22/2024,1
ELANGO.BO,11/18/2024,1
ELECTHERM.NS,11/22/2024,1
ELNET.BO,11/22/2024,1
EMMBI.NS,11/22/2024,1
EVERESTO.BO,11/21/2024,1
EXPLEOSOL.NS,11/21/2024,1
EXPLICITFIN.BO,11/21/2024,1
FILTRA.BO,11/18/2024,1
FINEORG.NS,11/22/2024,1
FORTIS.NS,11/21/2024,1
GANESHHOUC.NS,11/22/2024,1
GAYAHWS.NS,11/25/2024,1
GLANCE.BO,11/22/2024,1
GLCL.BO,11/22/2024,1
GODREJPROP.NS,11/22/2024,1
GUJCOTEX.BO,11/22/2024,1
HCLTECH.NS,11/22/2024,1
HECPROJECT.NS,11/19/2024,1
HISARSP.BO,11/19/2024,1
HISARSP.BO,11/21/2024,1
IBRIGST.BO,11/19/2024,1
IMFA.NS,11/21/2024,1
INCREDIBLE.BO,11/22/2024,1
INDHOTEL.NS,11/21/2024,1
INDOBORAX.BO,11/19/2024,1
INFY.NS,11/22/2024,1
INGERRAND.NS,11/22/2024,1
INOVSYNTH.BO,11/21/2024,1
ISHITADR.BO,11/25/2024,1
ITC.NS,11/22/2024,1
IVP.NS,11/19/2024,1
JAGSNPHARM.NS,11/22/2024,1
JAICORPLTD.NS,11/25/2024,1
JKIL.NS,11/25/2024,1
JSWSTEEL.NS,11/22/2024,1
JUMBO.BO,11/22/2024,1
KAMADGIRI.BO,11/22/2024,1
KANDAGIRI.BO,11/22/2024,1
KEI.NS,11/22/2024,1
KIFS.BO,11/19/2024,1
KIRIINDUS.NS,11/19/2024,1
KIRIINDUS.NS,11/21/2024,1
KIRLOSBROS.NS,11/19/2024,1
L&TFH.NS,6/20/2024,1
LAURUSLABS.NS,11/22/2024,1
LOKESHMACH.NS,11/19/2024,1
LT.NS,11/22/2024,1
MCL.NS,11/22/2024,1
MCDOWELL-N.NS,7/25/2024,1
MEERA.BO,11/19/2024,1
MEGRISOFT.BO,11/19/2024,1
MEGRISOFT.BO,11/21/2024,1
MEGRISOFT.BO,11/22/2024,1
MIVENMACH.BO,11/19/2024,1
MODINATUR.BO,11/22/2024,1
MOHITE.BO,11/21/2024,1
MORGANITE.BO,11/21/2024,1
NAUKRI.NS,11/22/2024,1
NCCBLUE.BO,11/18/2024,1
NEXTMEDIA.NS,11/21/2024,1
NIFTYBEES.BO,11/22/2024,1
NILASPACES.NS,11/25/2024,1
NIRAVCOM.BO,11/18/2024,1
NLCINDIA.NS,11/21/2024,1
OILCOUNTUB.NS,11/21/2024,1
OMNIAX.BO,11/21/2024,1
OPTIFIN.BO,11/22/2024,1
OPTIFIN.BO,11/25/2024,1
PARSHWANA.BO,11/18/2024,1
PDMJEPAPER.NS,11/22/2024,1
PGIL.NS,11/19/2024,1
PHOENIXLTD.NS,11/22/2024,1
PIXTRANS.BO,11/22/2024,1
PITTIENG.NS,11/22/2024,1
POWERGRID.NS,11/21/2024,1
POWERGRID.NS,11/22/2024,1
PRAJIND.NS,11/22/2024,1
PRAXIS.NS,11/22/2024,1
PROMACT.BO,11/21/2024,1
QNIFTY.BO,11/22/2024,1
QUANTBUILD.BO,11/19/2024,1
QUANTBUILD.BO,11/21/2024,1
QUANTBUILD.BO,11/22/2024,1
RAMAVISION.BO,11/19/2024,1
RATNAMANI.NS,11/21/2024,1
RCL.BO,11/21/2024,1
RELICTEC.BO,11/21/2024,1
RTSPOWR.BO,11/21/2024,1
SBIN.NS,11/22/2024,1
SHILPAMED.NS,11/21/2024,1
SMIFS.BO,11/22/2024,1
SRIKPRIND.BO,11/25/2024,1
STAR.NS,11/21/2024,1
STERTOOLS.NS,11/21/2024,1
STOVEKRAFT.NS,11/19/2024,1
SUMEDHA.BO,11/19/2024,1
SUMEDHA.BO,11/21/2024,1
SUNPHARMA.NS,11/19/2024,1
SWANENERGY.NS,11/22/2024,1
TDPOWERSYS.NS,11/19/2024,1
TCS.NS,11/22/2024,1
TGVSL.BO,11/22/2024,1
TRANSCHEM.BO,11/19/2024,1
TRITURBINE.NS,11/19/2024,1
ULTRACEMCO.NS,11/22/2024,1
UPSURGE.BO,11/19/2024,1
VGUARD.NS,11/19/2024,1
VICTMILL.BO,11/21/2024,1
VIJIFIN.NS,11/22/2024,1
VIKALPS.BO,11/21/2024,1
VISASTEEL.NS,11/18/2024,1
VISIONCO.BO,11/22/2024,1
WENDT.NS,11/22/2024,1
Omar,Test,Test
